代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
159707,地产ETF,0.638,0.6375,-0.08,0.016,2.57,987468.0,62665520.095,0.621,0.64,0.617,0.622,3.7,15.16,2.16,43.4,523697.0,463770.0,7053878.0,11.26,12017296.0,19.18,-4963418.0,-7.92,-5768625.0,-9.21,-1285253.0,-2.05,202.0,0.637,0.638,651548208.0,415687757,415687757,2026-01-20,2026-01-20 10:54:18+08:00
159745,建材ETF,0.687,0.6854,-0.23,0.017,2.54,873345.0,59767648.15,0.668,0.689,0.668,0.67,3.13,9.39,4.09,18.74,509333.0,364012.0,2399139.0,4.01,8024246.0,13.43,-5625107.0,-9.41,-1390864.0,-2.33,-1008277.0,-1.69,6.0,0.686,0.687,929688272.0,638695843,638695843,2026-01-20,2026-01-20 10:54:21+08:00
516750,建材ETF,0.75,0.7491,-0.12,0.017,2.32,369903.0,27548914.0,0.731,0.753,0.731,0.733,3.0,26.97,7.89,7.95,161760.0,208143.0,1597605.0,5.8,5306144.0,19.26,-3708539.0,-13.46,-676872.0,-2.46,-920734.0,-3.34,-1605.0,0.75,0.751,137167300.0,102875475,102875475,2026-01-20,2026-01-20 10:54:15+08:00
159787,建材ETF易方达,0.754,0.753,-0.13,0.017,2.31,44511.0,3346453.2,0.737,0.755,0.737,0.737,2.44,4.43,8.01,23.21,22755.0,21756.0,-222204.0,-6.64,-406023.0,-12.13,183819.0,5.49,277072.0,8.28,-54869.0,-1.64,-3218.0,0.753,0.754,100521633.0,75793311,75793311,2026-01-20,2026-01-20 10:54:18+08:00
159768,房地产ETF,0.57,0.571,0.18,0.012,2.15,738807.0,41917734.2,0.557,0.573,0.556,0.558,3.05,10.5,2.9,12.23,488638.0,250169.0,7304715.0,17.43,9243064.0,22.05,-1938349.0,-4.62,-5284945.0,-12.61,-2019771.0,-4.82,-2920.0,0.57,0.571,703450304.0,400966673,400966673,2026-01-20,2026-01-20 10:54:21+08:00
159268,港股通消费50ETF,0.948,0.9513,0.35,0.019,2.05,820826.0,77468831.7,0.933,0.95,0.931,0.929,2.05,11.46,4.91,20.0,506310.0,314516.0,1351190.0,1.75,8427773.0,10.89,-7076583.0,-9.15,-888961.0,-1.15,-462230.0,-0.6,1100.0,0.947,0.948,716055024.0,678820163,678820163,2026-01-20,2026-01-20 10:54:21+08:00
159245,港股通消费ETF,0.959,0.962,0.31,0.019,2.02,141082.0,13472645.0,0.943,0.959,0.943,0.94,1.7,7.88,5.26,-13.56,86544.0,54538.0,315148.0,2.34,279441.0,2.07,35707.0,0.27,-431134.0,-3.2,115985.0,0.86,5.0,0.958,0.959,179113296.0,171769651,171769651,2026-01-20,2026-01-20 10:54:24+08:00
159285,港股通消费ETF华安,0.942,0.9471,0.54,0.018,1.95,243804.0,22913535.131,0.929,0.945,0.922,0.924,2.49,4.98,5.45,-18.43,149892.0,93913.0,177575.0,0.78,1292510.0,5.67,-1114935.0,-4.89,-345000.0,-1.51,167426.0,0.73,-1083.0,0.942,0.943,489486688.0,461096460,461096460,2026-01-20,2026-01-20 10:54:21+08:00
513970,恒生消费ETF,0.957,0.955,-0.21,0.018,1.92,1753244.0,166730850.0,0.941,0.959,0.941,0.939,1.92,5.51,3.77,20.94,1087558.0,665686.0,18107428.0,10.86,120051.0,0.07,17987377.0,10.79,-10636632.0,-6.38,-7470795.0,-4.48,-209.0,0.957,0.958,3184041008.0,3047127245,3047127245,2026-01-20,2026-01-20 10:54:16+08:00
159735,港股消费ETF,0.814,0.813,-0.12,0.015,1.88,2239054.0,181856748.1,0.801,0.816,0.801,0.799,1.88,21.19,7.3,-23.28,1272664.0,966390.0,130201.0,0.07,-439444.0,-0.24,569645.0,0.31,-737576.0,-0.41,607375.0,0.33,-565.0,0.814,0.815,1056561376.0,860040960,860040960,2026-01-20,2026-01-20 10:54:21+08:00
513590,港股通消费ETF鹏华,0.933,0.9366,0.38,0.017,1.86,335401.0,31166822.0,0.917,0.934,0.917,0.916,1.86,14.41,5.29,-53.84,187641.0,147760.0,2630199.0,8.44,4037928.0,12.96,-1407729.0,-4.52,-1467205.0,-4.71,-1162994.0,-3.73,2.0,0.932,0.933,232818900.0,217220034,217220034,2026-01-20,2026-01-20 10:54:19+08:00
520520,恒生消费ETF华泰柏瑞,1.108,1.111,0.27,0.02,1.84,87013.0,9588007.0,1.091,1.109,1.091,1.088,1.65,11.66,3.54,-13.76,46680.0,40333.0,601671.0,6.28,812320.0,8.47,-210649.0,-2.2,-343018.0,-3.58,-258653.0,-2.7,8.0,1.107,1.108,74606000.0,82663448,82663448,2026-01-20,2026-01-20 10:54:15+08:00
513070,港股通消费ETF易方达,1.34,1.3383,-0.13,0.024,1.82,372707.0,49735721.0,1.322,1.342,1.32,1.316,1.67,5.85,3.75,15.44,247046.0,125661.0,276657.0,0.56,-2664032.0,-5.36,2940689.0,5.91,-693854.0,-1.4,417197.0,0.84,-29.0,1.34,1.341,636760800.0,853259472,853259472,2026-01-20,2026-01-20 10:54:19+08:00
159699,恒生消费ETF,1.035,1.0333,-0.16,0.016,1.57,602577.0,62097346.837,1.021,1.035,1.019,1.019,1.57,5.1,2.69,-21.7,339754.0,262823.0,2703924.0,4.37,4025623.0,6.5,-1321699.0,-2.13,-534666.0,-0.86,-2169258.0,-3.5,1841.0,1.034,1.035,1182164256.0,1223540005,1223540005,2026-01-20,2026-01-20 10:54:21+08:00
159265,港股消费ETF鹏华,0.979,0.982,0.31,0.015,1.56,320615.0,31252123.668,0.964,0.98,0.963,0.964,1.76,7.09,2.12,-11.26,187491.0,133124.0,3344324.0,10.7,517402.0,1.66,2826922.0,9.05,-2173283.0,-6.95,-1171042.0,-3.75,31.0,0.978,0.979,451950896.0,442459927,442459927,2026-01-20,2026-01-20 10:54:21+08:00
520620,港股通消费ETF,0.945,0.9492,0.44,0.014,1.5,128721.0,12118915.0,0.933,0.946,0.932,0.931,1.5,2.52,2.02,-15.29,75294.0,53427.0,416284.0,3.43,-125840.0,-1.04,542124.0,4.47,-113583.0,-0.94,-302701.0,-2.5,-96.0,0.945,0.946,511409008.0,483281513,483281513,2026-01-20,2026-01-20 10:54:16+08:00
513230,港股通消费ETF华夏,1.056,1.0589,0.27,0.014,1.34,228790.0,24084939.0,1.043,1.058,1.043,1.042,1.44,6.38,2.95,-5.85,155223.0,73567.0,3057425.0,12.69,1221319.0,5.07,1836106.0,7.62,-1946318.0,-8.08,-1111106.0,-4.61,-5.0,1.056,1.057,358422704.0,378494375,378494375,2026-01-20,2026-01-20 10:54:18+08:00
159766,旅游ETF,0.835,0.834,-0.12,0.01,1.21,4757852.0,394956677.7,0.825,0.835,0.821,0.825,1.7,5.89,2.35,-16.71,3212168.0,1545684.0,-30475733.0,-7.72,-24451497.0,-6.19,-6024236.0,-1.53,26481168.0,6.71,3994563.0,1.01,430.0,0.834,0.835,8076141056.0,6743577782,6743577782,2026-01-20,2026-01-20 10:54:21+08:00
561320,交运ETF,0.988,0.9902,0.22,0.011,1.13,22718.0,2236965.0,0.977,0.988,0.977,0.977,1.13,3.14,2.52,46.89,15288.0,7430.0,-235363.0,-10.52,0.0,0.0,-235363.0,-10.52,279156.0,12.48,-43794.0,-1.96,6.0,0.986,0.988,72369000.0,71500572,71500572,2026-01-20,2026-01-20 10:54:16+08:00
512200,房地产ETF,1.546,1.5466,0.04,0.017,1.11,713737.0,110181592.0,1.522,1.554,1.52,1.529,2.22,2.28,1.43,13.67,369203.0,344534.0,7435213.0,6.75,9963451.0,9.04,-2528238.0,-2.29,-2920445.0,-2.65,-4514769.0,-4.1,-13.0,1.546,1.547,3131347904.0,4841063860,4841063860,2026-01-20,2026-01-20 10:54:20+08:00
515060,房地产ETF华夏,0.737,0.7381,0.15,0.008,1.1,348152.0,25631111.0,0.729,0.742,0.726,0.729,2.19,4.75,2.67,-10.92,159804.0,188348.0,540766.0,2.11,4203052.0,16.4,-3662286.0,-14.29,-130632.0,-0.51,-410133.0,-1.6,-3000.0,0.737,0.739,733478096.0,540573357,540573357,2026-01-20,2026-01-20 10:54:17+08:00
512190,浙商之江凤凰ETF,2.741,2.7251,-0.58,0.029,1.07,2021.0,551660.0,2.725,2.75,2.707,2.712,1.59,0.29,3.64,-25.09,1036.0,985.0,76054.0,13.79,85633.0,15.52,-9579.0,-1.74,-125750.0,-22.79,49697.0,9.01,3.0,2.711,2.74,69218400.0,189727634,189727634,2026-01-20,2026-01-20 10:54:20+08:00
159296,A500红利低波ETF,0.998,0.9953,-0.27,0.01,1.01,9645.0,958649.5,0.991,0.998,0.991,0.988,0.71,1.15,0.57,-8.43,3928.0,5717.0,-138783.0,-14.48,0.0,0.0,-138783.0,-14.48,143809.0,15.0,-5026.0,-0.52,7.0,0.996,0.997,84042941.0,83874855,83874855,2026-01-20,2026-01-20 10:54:21+08:00
159653,ESG300ETF,1.244,1.2293,-1.2,0.012,0.97,2.0,248.8,1.244,1.244,1.244,1.232,0.0,0.0,,89.24,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.222,1.244,55972068.0,69629253,69629253,2026-01-20,2026-01-20 10:54:21+08:00
159662,交运ETF南方,1.06,1.0589,-0.1,0.01,0.95,25584.0,2694095.5,1.051,1.06,1.05,1.05,0.95,3.17,1.42,6.6,16015.0,9569.0,-211005.0,-7.84,0.0,0.0,-211005.0,-7.84,141257.0,5.25,69748.0,2.59,19.0,1.058,1.06,80613946.0,85450783,85450783,2026-01-20,2026-01-20 10:54:24+08:00
512690,酒ETF,0.54,0.5393,-0.13,0.005,0.93,9275024.0,499432574.0,0.536,0.542,0.534,0.535,1.5,2.75,1.89,-4.0,6313561.0,2961463.0,45071726.0,9.02,97943339.0,19.61,-52871613.0,-10.59,-35320926.0,-7.07,-9750805.0,-1.95,10.0,0.539,0.54,33711550208.0,18204237112,18204237112,2026-01-20,2026-01-20 10:54:18+08:00
159666,交通运输ETF,1.036,1.0354,-0.06,0.009,0.88,54730.0,5649924.0,1.026,1.036,1.026,1.027,0.97,6.45,1.62,14.53,27214.0,27516.0,-71513.0,-1.27,0.0,0.0,-71513.0,-1.27,206507.0,3.66,-134995.0,-2.39,20.0,1.035,1.036,84832905.0,87886890,87886890,2026-01-20,2026-01-20 10:54:15+08:00
515450,红利低波50ETF,1.404,1.4045,0.04,0.012,0.86,894930.0,125363849.0,1.393,1.405,1.391,1.392,1.01,0.84,2.38,21.95,627667.0,267263.0,13859988.0,11.06,-720270.0,-0.57,14580258.0,11.63,-8948066.0,-7.14,-4911921.0,-3.92,400.0,1.403,1.404,10671835136.0,14983256531,14983256531,2026-01-20,2026-01-20 10:54:18+08:00
515730,家居家电ETF,1.066,1.0669,0.08,0.009,0.85,38260.0,4065728.0,1.054,1.068,1.053,1.057,1.42,8.16,2.58,6.61,14060.0,24200.0,401385.0,9.87,19170.0,0.47,382215.0,9.4,-345318.0,-8.49,-56068.0,-1.38,-23.0,1.065,1.066,46892000.0,49986872,49986872,2026-01-20,2026-01-20 10:54:16+08:00
